name,action,confidence_score,risk_score,impact_score,red_flags,name_confidence,phone_confidence,address_confidence,specialty_confidence,state_confidence,npi_confidence,license_confidence
Joseph Young,manual_review,50,100,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; MISSING_NPI: No NPI number found,50,50,50,75,100,0,50
Dylan Baker,auto_resolve,85,15,30,INCONSISTENT_ADDRESS: Multiple conflicting values found,50,50,50,75,100,100,100
Jessica Moyer,manual_review,75,65,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; MISSING_NPI: No NPI number found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,0,100
Emma Johns,manual_review,100,60,90,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Haley Reyes,manual_review,75,75,90,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_PHONE: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; MISSING_NPI: No NPI number found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,0,100
Robert Thomas,manual_review,100,75,70,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_ADDRESS: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Brian Campos,manual_review,100,60,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Christian Smith,manual_review,75,100,80,INCONSISTENT_PHONE: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Sandra Brown,manual_review,75,100,70,INCONSISTENT_ADDRESS: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; MISSING_NPI: No NPI number found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,0,100
Andrew Carter,auto_resolve,100,35,70,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Jesse Torres,manual_review,75,90,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; MISSING_NPI: No NPI number found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,0,100
Joseph Weber MD,manual_review,60,100,90,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Brianna Watson,manual_review,100,75,80,INCONSISTENT_ADDRESS: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Michael Morgan,manual_review,100,70,65,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_PHONE: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Michelle Smith,manual_review,75,100,90,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Rachel Long,manual_review,100,60,100,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Michael Contreras,manual_review,75,100,85,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_PHONE: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; MISSING_NPI: No NPI number found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,0,100
Tyrone Boyd,manual_review,75,100,65,INCONSISTENT_PHONE: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Ashley Murphy,manual_review,60,100,100,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Madison Duffy,manual_review,75,90,85,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; MISSING_NPI: No NPI number found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,0,100
Diana Smith,manual_review,100,60,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Robert Gonzales,manual_review,75,100,70,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Gabriel Riley,manual_review,100,60,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Amber Allen,manual_review,75,100,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Donald Mercado,manual_review,85,60,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Roy Munoz,manual_review,50,100,65,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; MISSING_NPI: No NPI number found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,0,50
Robert Barnett,auto_resolve,85,50,70,INCONSISTENT_ADDRESS: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Cheryl Brooks,manual_review,100,60,70,INCONSISTENT_PHONE: Multiple conflicting values found; INCONSISTENT_ADDRESS: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Kristen Mitchell,manual_review,60,100,70,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Ariana Edwards,manual_review,75,100,90,INCONSISTENT_ADDRESS: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Jonathan Mills,manual_review,100,60,100,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Renee Berger,manual_review,60,100,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Michelle Park,manual_review,100,70,90,INCONSISTENT_PHONE: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Molly Gould,manual_review,60,100,90,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Connor Taylor,auto_resolve,85,35,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Maria Harvey,manual_review,75,100,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Dana Allen,manual_review,60,100,65,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Sara Santos,manual_review,60,90,45,INCONSISTENT_PHONE: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Jennifer Rivera,manual_review,75,100,55,INCONSISTENT_ADDRESS: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Tara Warner,manual_review,75,75,70,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Michelle Jackson,auto_resolve,100,25,70,INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Brandi Martin,manual_review,100,60,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Dr. Joan Rivera,manual_review,85,60,65,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Mr. Christopher Hill Jr.,manual_review,75,80,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
David Silva,manual_review,35,100,80,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; MISSING_NPI: No NPI number found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,0,50
Erika Clark,manual_review,100,60,85,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Eric Gilbert,manual_review,35,100,100,INCONSISTENT_ADDRESS: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; MISSING_NPI: No NPI number found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,0,50
Eric Solis,manual_review,75,100,100,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Alec Finley,manual_review,60,100,80,INCONSISTENT_ADDRESS: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Kelly Gardner,auto_resolve,100,40,80,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
John Scott,manual_review,75,85,70,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_PHONE: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Meghan Ho,manual_review,50,100,70,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_PHONE: Multiple conflicting values found; INCONSISTENT_ADDRESS: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; MISSING_NPI: No NPI number found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,0,50
Erika Cooper,auto_resolve,85,40,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Brent Phillips,manual_review,100,60,45,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Gary Vazquez,manual_review,75,100,80,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Joanna Swanson,manual_review,50,100,55,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; MISSING_NPI: No NPI number found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,0,50
Carlos Johnson,manual_review,75,100,90,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Rhonda Smith,manual_review,75,100,55,INCONSISTENT_PHONE: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; MISSING_NPI: No NPI number found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,0,100
Michelle Brooks,manual_review,75,100,65,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Linda Morrison,manual_review,75,100,80,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Abigail Nash,manual_review,75,75,65,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Brandon Osborne,manual_review,100,60,100,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Carolyn Hudson,manual_review,100,75,80,INCONSISTENT_ADDRESS: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Ryan Serrano,manual_review,75,100,70,INCONSISTENT_PHONE: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Matthew Horne,manual_review,75,100,55,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Vanessa Graham,manual_review,85,70,55,INCONSISTENT_PHONE: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
James Delgado,manual_review,50,100,90,INCONSISTENT_PHONE: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; MISSING_NPI: No NPI number found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,0,50
Jennifer Gilmore,manual_review,75,100,80,INCONSISTENT_PHONE: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Tonya Rivera,manual_review,60,75,75,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Eric Villanueva,manual_review,75,100,80,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Mike Mason,manual_review,75,80,65,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Jordan Mullins,auto_resolve,85,40,90,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Maria Clay,manual_review,100,60,70,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
James White,manual_review,60,100,90,INCONSISTENT_PHONE: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
George Waller,manual_review,75,95,40,INCONSISTENT_ADDRESS: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Roger Bush,manual_review,85,60,70,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Madison Wheeler,manual_review,75,100,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Timothy Stout,manual_review,100,75,100,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_ADDRESS: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Chelsea Silva,manual_review,100,60,90,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Jennifer Wang,manual_review,60,100,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Debra Kelly,auto_resolve,100,40,90,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Aimee Perez,manual_review,75,95,75,INCONSISTENT_ADDRESS: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Kathleen Cantrell,manual_review,75,70,90,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; MISSING_NPI: No NPI number found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,0,100
Dominic Davis,manual_review,100,60,85,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Tina Elliott,manual_review,75,90,70,INCONSISTENT_ADDRESS: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Steven Frederick,manual_review,75,80,70,INCONSISTENT_ADDRESS: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Thomas Williams,manual_review,100,70,100,INCONSISTENT_PHONE: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Samuel Cox,manual_review,75,100,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Damon Manning,manual_review,100,60,55,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
